name,province,address,longitude,latitude,overview
见外美术馆,四川,成都市崇州明道镇竹艺村,103.589881,30.65132,由旅法艺术家刘伟福设计建造的见外美术馆于2019年正式开馆，馆内以展示刘伟福的个人作品为主。
溶岩美术馆,贵州,安龙县笃山镇梨树村,105.505762,25.258122,溶岩美术馆修建在山谷里一个165米高的巨大岩壁上，是安龙国家山地户外运动（示范）公园的一部分，于2017年修建完成，展馆拥有观景、举办展览和会议等主要功能。
羊磴艺术合作社,贵州,遵义市桐梓县羊磴镇,106.970474,28.715894,2012年由艺术家焦兴涛发起羊磴艺术计划这一在地艺术实践项目，羊磴艺术计划强调“艺术的协商”，所有项目与作品在与当地的对话与交流中产生，同时借助多个学科概念，以非惯性生产的方式实施项目和作品，有意识有
而居当代美术馆,云南,大理市才村小邑庄抽水站,100.195484,25.711609,而居当代美术馆坐落于大理洱海边，2011年正式开馆。由台湾知名画家韩湘宁2006年在盖建的工作室演变而来，行使美术馆公开展示美术作品的义务。
拉纳乡村美术馆,云南,丽江市玉龙县拉市镇丰乐村,100.216418,26.962854,2007年，纳西青年艺术家拉纳在家乡祖宅里建立了一座自己的乡村美术馆，一边创作，一边耕地，一边照顾父母。
三合美术馆,重庆,沙坪坝区丰文街道三河村堰塘湾组29号,106.287201,29.644831,三合美术馆于2022年开馆，集艺术展览、学术研究、公共教育、艺术创作、艺术研学、成人美学于一体。以三大基地五大计划，打造艺术学术高地，培养公众审美情怀，提升大众艺术素养。
吕金南美术馆,广西,玉林市福绵区沙田镇砥柱村铜鼓坡自然村,110.01995,22.370965,“吕金南美术馆”由村民吕金南在自己的农村旧居基础上改建而成，于2020年开馆，主要展示他的个人油画作品。作品的内容主要是风景与人物，既有以玉林本地乡村风光为主要元素的民俗和乡土生活，也有参考国内外名画
袁机美术馆,广东,深圳市罗湖村,114.120838,22.535226,袁机美术馆建于2015年，位于罗湖汝南公司办公楼顶层，设有书画展览厅、印章展览厅、藏画室、资料室和会客厅，主要展示了袁机先生的书画真迹和金石作品，寄托了他对故乡的眷念之情。
大芬美术馆,广东,深圳市龙岗区大芬村,114.139538,22.612229,大芬美术馆建于2007年，是集展览、研究、收藏、公共教育、艺术讲座等公共文化推广于一体的公益性公共文化事业单位，由政府投资建设，是目前深圳建筑面积最大的美术馆和全国首个美术产业园区配套的美术馆。设有学
源美术馆,广东,广州市从化市良口镇乐明村,113.809294,23.85266,“源美术馆”是应绿芽基金会半乡学堂邀约，由陈晓阳工作室和银坎保工作室在乐明共同发起推进的公益艺术项目，于2019年开展。
